"","Case  No","Offence/count","of 
Date","Sentence.",""
"","","","conviction/sentence","",""
"M.e.","Ruwanwella","","30.07.2007/13.08.2007","",""
"Case  No. 84689","","i.  House breaking","","2 Years'  R.I",""
"","","by night","","Rs.  1500 fine.",""
"","","","","6 months'  R.I","in"
"","","","","default","of"
"","","","","payment","of"
"","","","","fine.",""
"","","ii.  Theft of goods","","2 years' R.I",""
"","","worth  Rs.4150/-","","Rs.  1500 fine.",""
"","","and  Rs.14500/-","","6 months'  R.I","in"
"","","","","default","of"
"","","","","payment of fine",""
