"Other 
income-service","nil","nil","6,051,434","8,218,878"
"supplied","","","",""
"Interest 
on 
savings","463,394","253,477","224,175","105,031"
"accounts","","","",""
"Interest on call deposit","1,426,432","","",""
"Non 
defendable","86,700","","",""
"security deposit","","","",""
"","1,976,526","253,477","44,119,529","73,043,269"
"Loss-administrative+","3,585,826","5,082,508","55,721,028","67,894,569"
"Finance cost","","","",""
"Loss for the year","(1,609,300)","(4,829,031)","(11,601,499)",""
"Profit for the year","","","","5,148,700"
