"73.","Mr. V.T. Thamilmaran"
"","73A. W. Indira Nanayakkara"
"74.","Dr. A.A.C. Abeysinghe"
"","74A. Dr. R. Senathiraja"
"75.","Prof. Nadira Karunaweera"
"","75A. Prof. Jennifer Perera"
"76.","Prof. K.R.R. Mahanama"
"77.","Prof. Sunil Chandrasiri"
"","77A. Prof. Nayani Melegoda"
"78.","Prof. Indralal De Silva"
"","78A. Prof. J.K.D.S. Jayanetti"
"79.","Prof. Janaka de Silva"
"80.","Mr. K. Kang-Isvaran P.C."
"","80A. Ranjan Asirwatham"
"81.","Mr. Thilak Karunaratne"
"82.","Mr. C. Maliyadde"
"","82A. Dr. Harsha Cabral P.C."
"83.","Dr. Cudu Wijeyeratne"
"","83A. Nigel Hatch P.C."
"84.","Mr. Amitha K.U. Gamage"
"","84A. Prof. Lakshman Ratnayake"
"85.","Ms. Lesha de Silva Chandrasena"
"","85A. Dr. Ranee Jayamaha"
"86.","Mr. Mahinda Madihahewa"
"","86A. Jehan Prasanna Amaratunga"
"87.","Mr. Ranjith G. Rulasinghe"
"","87A. J.M.Swaminathan"
"88.","Prof. Tilak Hettiarachchy"
"","88A. Prof. Rohan Jayasekera"
"89.","Prof. R. Senathiraja"
"","89A. Mrs. A. C. Mubarak"
"90.","Prof. G.N. Wickramanayake"
"","90A. Prof. Sandagomi Coperahewa"
"91.","Dr. S.M. Handunnetti"
"","91A. Dr. P.R.N. Fernando"
"92.","Mr. S. Senaratne"
"","92A. Dr. M.T.M.Mahees"
"93.","Dr. R. Perera"
"","93A. Dr. Shrinika Weerakoon"
"94.","Mr. U. Amarasiri"
